ICD10;AirP;AQHI;SH;CO;SC;O3;SO;PM2.5;SP;AQHIX;SI;NO2;SN;O3H8;S8;SO2;SS;LAG
I00-I99;Cold All;0.000353371;0.003511218;-0.005347754;0.024556491;-0.00161414;0.000434077;0.00020318;0.000390175;0.001160845;0.002410299;0.000570964;0.000343528;-0.001272883;0.00039024;0.00019034;0.001752813;3
I00-I99;Cold Female;0.006254875;0.004365581;-0.009186893;0.030687956;-0.001473384;0.000541943;0.000689312;0.000484981;0.004766655;0.003000435;0.000975601;0.000428147;-0.000782772;0.000486583;0.002742775;0.002186627;3
I00-I99;Cold Male;-0.005258728;0.004489661;-0.001701;0.03125664;-0.001747866;0.000553846;-0.000259778;0.000499126;-0.002239935;0.003078772;0.000190183;0.000438464;-0.001732184;0.000498293;-0.002216991;0.002234658;3
I00-I99;Age 0-10 All;-0.01319257;0.03136489;0.1249441;0.27441;-0.00404927;0.003689032;0.003549461;0.00394758;-0.01106563;0.02108784;-0.001337083;0.003623076;-0.001314066;0.002474205;0.003547235;0.019094693;3
I00-I99;Age 0-10 Female;0.01914853;0.04358968;-0.2232609;0.3742721;0.001096471;0.005128778;0.0054294;0.005525953;0.01279378;0.02975375;-7.97E-05;0.005038142;0.003486879;0.003506589;0.02684066;0.02694338;3
I00-I99;Age 0-10 Male;-0.03343609;0.03802456;0.3564868;0.3363478;-0.007367632;0.004466657;0.002439022;0.004761213;-0.025157;0.02533902;-0.002088962;0.004392179;-0.004128268;0.002960819;-0.009497682;0.022924932;3
I00-I99;Age 11-60 All;-0.005487842;0.005044357;-0.05460715;0.04498008;-0.00041063;0.000602973;-0.000204176;0.000633037;-0.004329768;0.00343889;-0.000556882;0.000597289;-0.000471206;0.000394475;-0.002872645;0.003094305;3
I00-I99;Age 11-60 Female;-0.010197152;0.007070563;-0.10399622;0.06340492;-0.00058959;0.000844558;-0.001092525;0.000888692;-0.00532848;0.004822993;-0.000786439;0.000839605;-0.000467393;0.0005518;-0.006739049;0.004362414;3
I00-I99;Age 11-60 Male;-0.001857027;0.006258485;-0.01762066;0.05555212;-0.000272415;0.000748509;0.000478228;0.000784253;-0.003546508;0.004265271;-0.000381443;0.000739467;-0.000470719;0.000490234;2.49E-05;0.003820991;3
I00-I99;Age 60+All;0.007659612;0.003716203;0.03776219;0.03293931;-0.000193314;0.000446612;0.001002514;0.000464438;0.003108469;0.002534034;0.000866153;0.000439093;-0.000182777;0.000292083;0.002362766;0.002277331;3
I00-I99;Age 60+ Female;0.008556882;0.004733599;0.06003461;0.04192562;-0.000795912;0.000569632;0.00116576;0.000591162;0.004672937;0.003226669;0.001280596;0.000558245;-0.000256641;0.000372937;0.005066339;0.002894388;3
I00-I99;Age 60+ Male;0.006722809;0.005073154;0.0142365;0.04499028;0.000440553;0.000608371;0.000829634;0.000634533;0.001463551;0.003459081;0.000426837;0.000600515;-0.000104634;0.00039755;-0.000518694;0.003114887;3
I00-I99;All: LAG 4;0.003575412;0.003289769;-0.007201108;0.028976184;0.000162295;0.00039479;0.000369655;0.000411967;0.00151415;0.002239067;0.000308056;0.000389585;4.06E-05;0.000256653;-0.000513263;0.002001479;4
I00-I99;Female;0.009148144;0.004153942;0.03597843;0.03662778;0.000378612;0.000498799;0.000783632;0.000519581;0.005443431;0.002829113;0.000889932;0.000491935;0.00038436;0.000324645;0.002125273;0.002532125;4
I00-I99;Male;-0.001645054;0.004210449;-0.04746799;0.03706109;-4.27E-05;0.000505136;-1.82E-05;0.000528002;-0.00216357;0.002863548;-0.000237267;0.000498642;-0.000281263;0.000327938;-0.002967828;0.002557685;4
